epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1723.94,1.29593,1.29196,1.68174,0.4917,0.62374,0.58285,0.35768,1.32402,1.24751,1.713,0.007162,0.007162,0.007162
45,1760.98,1.28997,1.28721,1.67615,0.48833,0.6293,0.58833,0.35827,1.3228,1.23373,1.71149,0.007096,0.007096,0.007096
46,1804.11,1.28101,1.26769,1.66738,0.5164,0.63601,0.59794,0.36835,1.31909,1.2273,1.70816,0.00703,0.00703,0.00703
47,1841.23,1.27717,1.25716,1.65731,0.5332,0.6269,0.59562,0.36521,1.32059,1.21838,1.70884,0.006964,0.006964,0.006964
48,1886.38,1.27573,1.24443,1.65825,0.54619,0.60925,0.59895,0.36762,1.31604,1.20547,1.70551,0.006898,0.006898,0.006898
49,1922.03,1.2719,1.23629,1.65387,0.5062,0.62734,0.59855,0.36794,1.31404,1.19704,1.70081,0.006832,0.006832,0.006832
50,1963.54,1.27614,1.2226,1.65877,0.52049,0.62949,0.60195,0.37041,1.31402,1.1887,1.69953,0.006766,0.006766,0.006766
51,1997.02,1.26187,1.21231,1.64593,0.51228,0.63022,0.60203,0.3727,1.31029,1.18343,1.69445,0.0067,0.0067,0.0067
52,2038.87,1.25962,1.20218,1.64398,0.52455,0.62462,0.60457,0.37273,1.31171,1.1831,1.69581,0.006634,0.006634,0.006634
53,2074.9,1.25262,1.18807,1.63547,0.55249,0.61986,0.60758,0.37728,1.30952,1.17922,1.69518,0.006568,0.006568,0.006568
54,2114.93,1.25087,1.17986,1.6308,0.54736,0.62555,0.60712,0.37693,1.30967,1.17949,1.69444,0.006502,0.006502,0.006502
55,2152.01,1.24501,1.1654,1.62949,0.56294,0.61539,0.61119,0.38039,1.3095,1.16727,1.69327,0.006436,0.006436,0.006436
56,2193.21,1.24226,1.15791,1.62129,0.57488,0.60666,0.61481,0.38281,1.30795,1.15766,1.69164,0.00637,0.00637,0.00637
57,2231.93,1.24177,1.14224,1.61846,0.57608,0.61088,0.61639,0.3836,1.30614,1.15607,1.68937,0.006304,0.006304,0.006304
58,2268.57,1.24246,1.14683,1.62299,0.57973,0.60701,0.61719,0.38471,1.30744,1.15265,1.6896,0.006238,0.006238,0.006238
59,2308.32,1.22815,1.13551,1.61084,0.58232,0.61329,0.61848,0.38478,1.30744,1.14987,1.68936,0.006172,0.006172,0.006172
60,2346.69,1.22701,1.12012,1.61311,0.58049,0.61219,0.62134,0.38701,1.30818,1.14594,1.68997,0.006106,0.006106,0.006106
61,2388.25,1.2205,1.10785,1.6135,0.58839,0.61783,0.6223,0.38947,1.30681,1.13992,1.68978,0.00604,0.00604,0.00604
62,2425.61,1.22224,1.09943,1.6079,0.57348,0.63042,0.62423,0.39185,1.30744,1.1352,1.68972,0.005974,0.005974,0.005974
63,2464.48,1.21428,1.08732,1.59773,0.5787,0.6207,0.62595,0.39448,1.30495,1.13031,1.68728,0.005908,0.005908,0.005908
64,2500.89,1.21576,1.09323,1.60088,0.57185,0.6286,0.62848,0.39565,1.30385,1.12591,1.68696,0.005842,0.005842,0.005842
65,2542.27,1.21059,1.0735,1.59159,0.56912,0.63333,0.62931,0.396,1.30226,1.12493,1.68603,0.005776,0.005776,0.005776
66,2578.12,1.20147,1.07205,1.59201,0.57663,0.62678,0.6318,0.39709,1.30304,1.12172,1.6862,0.00571,0.00571,0.00571
67,2621.12,1.20159,1.05757,1.58421,0.58359,0.61978,0.63085,0.39716,1.30309,1.11811,1.68582,0.005644,0.005644,0.005644
68,2655.43,1.19826,1.04862,1.58779,0.59029,0.61994,0.6332,0.39784,1.30303,1.11661,1.68498,0.005578,0.005578,0.005578
69,2698.76,1.19079,1.03916,1.5797,0.59216,0.62068,0.63296,0.39775,1.30257,1.11463,1.68402,0.005512,0.005512,0.005512
70,2736.85,1.19174,1.03273,1.57921,0.59948,0.61569,0.63418,0.39774,1.30247,1.11193,1.68415,0.005446,0.005446,0.005446
