epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1547.13,1.29569,1.30144,1.68209,0.54618,0.61516,0.5957,0.36189,1.32366,1.22458,1.71391,0.007162,0.007162,0.007162
45,1581.38,1.29358,1.29321,1.67731,0.55495,0.61374,0.60392,0.36658,1.32073,1.21671,1.71049,0.007096,0.007096,0.007096
46,1615.35,1.28729,1.27024,1.66945,0.5648,0.60822,0.61039,0.3722,1.32143,1.20398,1.71053,0.00703,0.00703,0.00703
47,1649.99,1.2818,1.27436,1.65897,0.56559,0.62396,0.60737,0.3701,1.3218,1.19954,1.70724,0.006964,0.006964,0.006964
48,1686.25,1.28417,1.25897,1.66543,0.56233,0.60794,0.60834,0.37275,1.31967,1.19507,1.70396,0.006898,0.006898,0.006898
49,1720.74,1.27523,1.24888,1.658,0.53619,0.63395,0.61599,0.378,1.31777,1.18198,1.70076,0.006832,0.006832,0.006832
50,1756.47,1.27109,1.23367,1.654,0.51769,0.65833,0.61802,0.38041,1.31944,1.17437,1.69939,0.006766,0.006766,0.006766
51,1791.21,1.26409,1.2227,1.64644,0.52162,0.6232,0.6161,0.37939,1.31814,1.17279,1.69575,0.0067,0.0067,0.0067
52,1831.17,1.26529,1.21817,1.6484,0.52159,0.64159,0.61475,0.37967,1.31592,1.16863,1.69529,0.006634,0.006634,0.006634
53,1865.45,1.25656,1.20313,1.64192,0.58298,0.6213,0.62052,0.38067,1.31776,1.16658,1.69697,0.006568,0.006568,0.006568
54,1898.44,1.25463,1.18717,1.63512,0.60898,0.62216,0.62402,0.38337,1.31697,1.16131,1.69523,0.006502,0.006502,0.006502
55,1937.08,1.24841,1.18208,1.62998,0.53713,0.62678,0.62017,0.38095,1.31579,1.15896,1.69329,0.006436,0.006436,0.006436
56,1970.5,1.2487,1.17594,1.62673,0.58283,0.62429,0.62229,0.38321,1.31684,1.156,1.69278,0.00637,0.00637,0.00637
57,2005.25,1.24656,1.16183,1.62551,0.57721,0.63153,0.62745,0.38506,1.31619,1.14989,1.69179,0.006304,0.006304,0.006304
58,2037.67,1.24128,1.15975,1.62461,0.59381,0.62199,0.63025,0.38657,1.3169,1.14858,1.69107,0.006238,0.006238,0.006238
59,2074.03,1.23316,1.14774,1.61549,0.614,0.60778,0.62859,0.38646,1.31742,1.14761,1.69088,0.006172,0.006172,0.006172
60,2108.69,1.2374,1.13619,1.62121,0.61518,0.62161,0.63221,0.389,1.31713,1.13992,1.68995,0.006106,0.006106,0.006106
61,2144.31,1.22458,1.12625,1.61648,0.62149,0.61687,0.632,0.39024,1.31515,1.13571,1.6874,0.00604,0.00604,0.00604
62,2177.38,1.22876,1.11006,1.61234,0.61102,0.62116,0.63339,0.39012,1.31391,1.12917,1.68602,0.005974,0.005974,0.005974
63,2215.14,1.21939,1.10601,1.60045,0.62353,0.624,0.63659,0.39265,1.31411,1.12525,1.68581,0.005908,0.005908,0.005908
64,2246.84,1.21937,1.09774,1.60259,0.60785,0.63436,0.63697,0.39339,1.31383,1.1228,1.68547,0.005842,0.005842,0.005842
65,2283.13,1.21299,1.09012,1.59455,0.59743,0.64049,0.6394,0.39349,1.31357,1.11997,1.68541,0.005776,0.005776,0.005776
66,2314.74,1.20858,1.0843,1.60006,0.61223,0.63166,0.64135,0.39514,1.31309,1.11624,1.68535,0.00571,0.00571,0.00571
67,2353.38,1.20562,1.07516,1.58683,0.60178,0.64228,0.6422,0.39569,1.31208,1.11361,1.68482,0.005644,0.005644,0.005644
68,2384.6,1.202,1.06715,1.59001,0.6093,0.64057,0.64306,0.39551,1.3114,1.11,1.68372,0.005578,0.005578,0.005578
69,2420.55,1.19708,1.05801,1.58497,0.60024,0.6463,0.64239,0.39675,1.31083,1.10691,1.68341,0.005512,0.005512,0.005512
70,2452.9,1.19339,1.03926,1.58046,0.61227,0.64357,0.64588,0.39785,1.31085,1.10345,1.68342,0.005446,0.005446,0.005446
71,2491.12,1.19329,1.03288,1.57701,0.60624,0.64336,0.64617,0.39883,1.31058,1.10049,1.6833,0.00538,0.00538,0.00538
72,2522.75,1.18806,1.04156,1.57493,0.61988,0.63244,0.64671,0.39958,1.31072,1.09829,1.68326,0.005314,0.005314,0.005314
73,2557.29,1.18302,1.02269,1.57223,0.61942,0.63259,0.64867,0.40116,1.31032,1.09622,1.68308,0.005248,0.005248,0.005248
74,2589.19,1.18086,1.01325,1.56672,0.61936,0.63245,0.64998,0.40175,1.31012,1.09315,1.68293,0.005182,0.005182,0.005182
75,2618.52,1.17399,1.00814,1.55971,0.61999,0.63632,0.65054,0.40173,1.31033,1.09105,1.68303,0.005116,0.005116,0.005116
76,2650.81,1.16664,0.99347,1.55368,0.62575,0.63568,0.65175,0.40218,1.3105,1.08824,1.68281,0.00505,0.00505,0.00505
77,2686.85,1.16447,0.98492,1.55768,0.62975,0.633,0.65299,0.40306,1.31056,1.08645,1.68273,0.004984,0.004984,0.004984
78,2722.87,1.17034,0.98567,1.55729,0.6351,0.63369,0.65407,0.40327,1.31091,1.0845,1.68319,0.004918,0.004918,0.004918
79,2758.79,1.16001,0.97668,1.54592,0.63431,0.63751,0.6559,0.40452,1.31141,1.08206,1.6836,0.004852,0.004852,0.004852
80,2791.8,1.15648,0.96591,1.54534,0.63081,0.64077,0.65675,0.40488,1.31144,1.08035,1.68348,0.004786,0.004786,0.004786
81,2827.45,1.15423,0.9551,1.54309,0.62134,0.64797,0.65611,0.40443,1.31109,1.07936,1.68322,0.00472,0.00472,0.00472
82,2860.38,1.14264,0.95256,1.53632,0.61552,0.64872,0.65639,0.40459,1.31142,1.07748,1.68323,0.004654,0.004654,0.004654
83,2897.17,1.14212,0.94623,1.53476,0.61652,0.64494,0.65697,0.40509,1.31137,1.07562,1.68309,0.004588,0.004588,0.004588
84,2928.36,1.13871,0.93331,1.5289,0.62093,0.64353,0.6575,0.40593,1.31189,1.0747,1.6834,0.004522,0.004522,0.004522
85,2966.23,1.13337,0.92638,1.52644,0.62762,0.64311,0.65865,0.40615,1.31207,1.07376,1.68366,0.004456,0.004456,0.004456
86,2997.52,1.12916,0.9235,1.52653,0.62521,0.64696,0.65853,0.40722,1.31229,1.07217,1.6837,0.00439,0.00439,0.00439
87,3033.89,1.12839,0.90989,1.52226,0.62241,0.64907,0.65759,0.40615,1.31247,1.07095,1.6838,0.004324,0.004324,0.004324
88,3065.54,1.12018,0.91011,1.5142,0.62278,0.64862,0.65774,0.40537,1.31259,1.06922,1.68396,0.004258,0.004258,0.004258
89,3102.35,1.11767,0.90205,1.51325,0.62058,0.64933,0.65817,0.40643,1.31278,1.06738,1.68417,0.004192,0.004192,0.004192
90,3135.3,1.11559,0.88998,1.51146,0.62081,0.64766,0.65883,0.40623,1.31293,1.06624,1.68465,0.004126,0.004126,0.004126
91,3174.39,1.11137,0.88278,1.50636,0.62312,0.64733,0.65855,0.40577,1.31302,1.06468,1.68475,0.00406,0.00406,0.00406
92,3207.95,1.10752,0.87324,1.5,0.62593,0.64651,0.65882,0.40641,1.31342,1.06402,1.68487,0.003994,0.003994,0.003994
93,3244.73,1.10188,0.86377,1.49977,0.62756,0.64747,0.65951,0.4064,1.31321,1.06272,1.68487,0.003928,0.003928,0.003928
94,3279.76,1.10074,0.86052,1.49641,0.62366,0.64999,0.66013,0.40728,1.31359,1.06164,1.68531,0.003862,0.003862,0.003862
95,3316.49,1.0913,0.84931,1.49096,0.62734,0.6503,0.6591,0.40701,1.31393,1.06048,1.68565,0.003796,0.003796,0.003796
96,3350.15,1.08519,0.83961,1.48618,0.62675,0.64997,0.65973,0.40691,1.31384,1.05922,1.68578,0.00373,0.00373,0.00373
97,3384.31,1.08205,0.83854,1.48363,0.62327,0.6514,0.65934,0.40711,1.31407,1.05826,1.68593,0.003664,0.003664,0.003664
98,3419.52,1.07466,0.82237,1.47417,0.62848,0.65043,0.66102,0.40787,1.31446,1.05707,1.68621,0.003598,0.003598,0.003598
99,3455.64,1.07858,0.82594,1.4763,0.62498,0.65142,0.66061,0.40811,1.31449,1.05637,1.68628,0.003532,0.003532,0.003532
100,3490.14,1.0742,0.82011,1.47247,0.62276,0.65371,0.66082,0.40861,1.31506,1.0553,1.68666,0.003466,0.003466,0.003466
101,3522.27,1.06487,0.80992,1.46954,0.62264,0.65491,0.66076,0.40853,1.31515,1.05438,1.68691,0.0034,0.0034,0.0034
102,3558.58,1.06013,0.79768,1.4646,0.62624,0.65869,0.66125,0.40847,1.31635,1.0529,1.68788,0.003334,0.003334,0.003334
103,3590.83,1.05798,0.80188,1.46296,0.62738,0.65992,0.66108,0.40868,1.31649,1.052,1.68814,0.003268,0.003268,0.003268
104,3627.6,1.05276,0.78863,1.45654,0.62887,0.65936,0.66134,0.40945,1.3172,1.05162,1.6887,0.003202,0.003202,0.003202
105,3659.66,1.04331,0.78769,1.45006,0.62894,0.65838,0.66237,0.41065,1.31778,1.05067,1.68949,0.003136,0.003136,0.003136
106,3697.33,1.0416,0.7761,1.44849,0.6257,0.6566,0.66242,0.41073,1.31813,1.04962,1.68984,0.00307,0.00307,0.00307
107,3730.09,1.04033,0.77157,1.44355,0.62312,0.65741,0.66269,0.41008,1.31849,1.04869,1.69042,0.003004,0.003004,0.003004
108,3769.93,1.0269,0.76567,1.43445,0.62446,0.6571,0.66281,0.40986,1.31889,1.04823,1.69079,0.002938,0.002938,0.002938
109,3802.27,1.02747,0.74969,1.43738,0.62559,0.65668,0.66194,0.41007,1.31955,1.04754,1.69167,0.002872,0.002872,0.002872
110,3838.37,1.02882,0.74733,1.43862,0.62897,0.65434,0.66306,0.41028,1.32028,1.04743,1.69239,0.002806,0.002806,0.002806
111,3871.93,1.01993,0.74985,1.43268,0.62843,0.65397,0.66302,0.40988,1.32066,1.04641,1.69298,0.00274,0.00274,0.00274
112,3909.86,1.01126,0.73637,1.42143,0.63174,0.64976,0.66303,0.41008,1.32121,1.0457,1.69372,0.002674,0.002674,0.002674
113,3942.8,1.00873,0.73547,1.42089,0.64006,0.64836,0.66321,0.41075,1.32184,1.04535,1.69428,0.002608,0.002608,0.002608
114,3979.37,0.99703,0.72505,1.41063,0.64211,0.64891,0.6633,0.41105,1.32233,1.04414,1.69494,0.002542,0.002542,0.002542
115,4012.84,1.00017,0.72157,1.41731,0.64345,0.64857,0.6629,0.4111,1.32283,1.04337,1.69555,0.002476,0.002476,0.002476
116,4045.3,0.99089,0.70916,1.40604,0.64313,0.65055,0.6629,0.41134,1.3232,1.04291,1.69598,0.00241,0.00241,0.00241
117,4080.81,0.99273,0.71232,1.40385,0.64115,0.65202,0.66228,0.41152,1.32381,1.04207,1.69654,0.002344,0.002344,0.002344
118,4115.15,0.9818,0.69734,1.39435,0.64306,0.65478,0.66391,0.41203,1.32411,1.04202,1.6972,0.002278,0.002278,0.002278
119,4149.75,0.98136,0.69736,1.39913,0.63455,0.65944,0.66305,0.41115,1.32467,1.04104,1.69796,0.002212,0.002212,0.002212
120,4183.33,0.97354,0.69167,1.3883,0.62797,0.66149,0.66423,0.411,1.32527,1.0404,1.69891,0.002146,0.002146,0.002146
121,4219.08,0.96782,0.68833,1.38601,0.62691,0.66256,0.66446,0.4108,1.32532,1.03993,1.69907,0.00208,0.00208,0.00208
122,4250.34,0.96094,0.67011,1.37951,0.62672,0.66292,0.66462,0.41099,1.3253,1.03959,1.69901,0.002014,0.002014,0.002014
123,4286.12,0.96071,0.66889,1.37996,0.62733,0.66254,0.66464,0.41097,1.32611,1.03894,1.69989,0.001948,0.001948,0.001948
124,4317.27,0.95665,0.6642,1.3801,0.6321,0.65918,0.66466,0.41016,1.32698,1.03836,1.70078,0.001882,0.001882,0.001882
