epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,5239.63,1.27548,1.29928,1.68671,0.4937,0.58377,0.55888,0.33885,1.33069,1.33823,1.73241,0.003581,0.003581,0.003581
45,5355.58,1.27427,1.28492,1.68111,0.51057,0.57067,0.55936,0.3418,1.32778,1.3357,1.73087,0.003548,0.003548,0.003548
46,5471.43,1.26794,1.27694,1.6764,0.49574,0.58593,0.56481,0.34498,1.32834,1.31491,1.73053,0.003515,0.003515,0.003515
47,5587.76,1.25951,1.26071,1.66429,0.50419,0.58642,0.57498,0.35144,1.32577,1.30289,1.72631,0.003482,0.003482,0.003482
48,5703.13,1.26226,1.25391,1.67021,0.48365,0.59967,0.57176,0.34985,1.32434,1.29275,1.72546,0.003449,0.003449,0.003449
49,5819.77,1.26073,1.23899,1.66597,0.46296,0.62093,0.5708,0.35075,1.32421,1.2922,1.72503,0.003416,0.003416,0.003416
50,5935.88,1.25395,1.22035,1.66119,0.47537,0.59712,0.57273,0.35138,1.32566,1.27962,1.72659,0.003383,0.003383,0.003383
51,6051.88,1.23995,1.21305,1.65255,0.48591,0.58578,0.56917,0.34984,1.32264,1.28689,1.7235,0.00335,0.00335,0.00335
52,6167.75,1.24357,1.20615,1.65095,0.48804,0.61818,0.57661,0.35197,1.32223,1.27822,1.72199,0.003317,0.003317,0.003317
53,6284.14,1.23714,1.19203,1.64513,0.51545,0.59359,0.57961,0.35451,1.32395,1.26965,1.72029,0.003284,0.003284,0.003284
54,6400.1,1.22967,1.1802,1.6409,0.51896,0.59435,0.58299,0.35787,1.31913,1.25938,1.71763,0.003251,0.003251,0.003251
55,6516.83,1.225,1.17359,1.63326,0.52234,0.59532,0.58541,0.35976,1.31883,1.25324,1.71605,0.003218,0.003218,0.003218
56,6632.7,1.22395,1.15885,1.62676,0.50843,0.60915,0.58552,0.36141,1.31941,1.24793,1.71607,0.003185,0.003185,0.003185
57,6748.3,1.21974,1.15109,1.62308,0.50634,0.61744,0.5897,0.36567,1.31856,1.24383,1.71464,0.003152,0.003152,0.003152
58,6863.14,1.21902,1.14096,1.6279,0.50987,0.60656,0.5905,0.36661,1.31916,1.23882,1.71356,0.003119,0.003119,0.003119
59,6980.46,1.20698,1.12264,1.61561,0.5111,0.60825,0.59307,0.36856,1.3176,1.23087,1.71219,0.003086,0.003086,0.003086
60,7094.75,1.20373,1.11382,1.6151,0.52793,0.6117,0.59555,0.37128,1.3154,1.22679,1.71051,0.003053,0.003053,0.003053
61,7211.11,1.20392,1.11003,1.61703,0.53401,0.60744,0.59847,0.3716,1.31476,1.22153,1.70971,0.00302,0.00302,0.00302
62,7327.21,1.20071,1.09691,1.60845,0.521,0.62316,0.6,0.37355,1.31338,1.21897,1.70772,0.002987,0.002987,0.002987
63,7443.27,1.19576,1.09352,1.60183,0.52323,0.62615,0.60155,0.37451,1.31228,1.21395,1.7062,0.002954,0.002954,0.002954
64,7558.1,1.19116,1.07911,1.59964,0.52864,0.63133,0.60282,0.37541,1.31253,1.20971,1.70625,0.002921,0.002921,0.002921
65,7673.16,1.1886,1.06745,1.59538,0.5358,0.63108,0.60527,0.37714,1.3124,1.20454,1.70617,0.002888,0.002888,0.002888
