epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5098.46,1.32598,1.39687,1.70717,0.30742,0.30763,0.25126,0.14878,1.60312,2.63258,1.99719,0.007228,0.007228,0.007228
44,5216.62,1.32325,1.37611,1.70574,0.3111,0.29444,0.24467,0.14608,1.59469,2.70414,1.99671,0.007162,0.007162,0.007162
45,5334.6,1.32243,1.36315,1.70609,0.33398,0.28133,0.22799,0.13569,1.6327,2.86631,2.04092,0.007096,0.007096,0.007096
46,5452.65,1.31464,1.35346,1.69963,0.36708,0.24762,0.21187,0.12706,1.65551,2.98233,2.06473,0.00703,0.00703,0.00703
47,5570.46,1.30571,1.34145,1.68648,0.33652,0.26652,0.21884,0.12964,1.63746,2.90896,2.05204,0.006964,0.006964,0.006964
48,5687.21,1.30539,1.3339,1.68824,0.34558,0.29083,0.24015,0.14383,1.6031,2.76675,2.01448,0.006898,0.006898,0.006898
49,5806.54,1.30157,1.31477,1.68297,0.35395,0.28365,0.23618,0.14027,1.60635,2.81504,2.01588,0.006832,0.006832,0.006832
50,5923.04,1.29809,1.29929,1.68201,0.35221,0.28018,0.2477,0.15091,1.59733,2.77046,2.00618,0.006766,0.006766,0.006766
51,6040.21,1.28869,1.29099,1.67315,0.34128,0.26962,0.24597,0.14696,1.59777,2.76548,2.00619,0.0067,0.0067,0.0067
52,6158.07,1.28477,1.28038,1.66894,0.33056,0.29443,0.24937,0.14741,1.60425,2.71287,2.01436,0.006634,0.006634,0.006634
53,6274.58,1.2759,1.27137,1.6612,0.34763,0.29637,0.25629,0.15344,1.59082,2.69366,1.99617,0.006568,0.006568,0.006568
54,6390.75,1.27989,1.25575,1.66162,0.32293,0.30836,0.26819,0.16146,1.58081,2.63519,1.98076,0.006502,0.006502,0.006502
55,6509.69,1.26648,1.243,1.65046,0.34427,0.31284,0.26455,0.15891,1.58667,2.66626,1.98507,0.006436,0.006436,0.006436
56,6626.05,1.26739,1.24647,1.6437,0.31055,0.31761,0.26668,0.15969,1.58008,2.63109,1.97867,0.00637,0.00637,0.00637
57,6743.54,1.26544,1.22492,1.64481,0.3221,0.31809,0.26711,0.15928,1.58239,2.62965,1.98,0.006304,0.006304,0.006304
58,6860.69,1.26087,1.21996,1.64455,0.3272,0.31952,0.26795,0.16141,1.57672,2.60396,1.9738,0.006238,0.006238,0.006238
59,6977.05,1.25294,1.20563,1.63632,0.33657,0.32728,0.2723,0.16492,1.57013,2.60428,1.96309,0.006172,0.006172,0.006172
60,7095.68,1.25555,1.19618,1.64285,0.33537,0.32762,0.27458,0.16437,1.57012,2.57669,1.96233,0.006106,0.006106,0.006106
61,7213.16,1.24603,1.18667,1.63842,0.33468,0.31986,0.27148,0.16182,1.56768,2.5837,1.96128,0.00604,0.00604,0.00604
62,7329.6,1.24925,1.17493,1.63046,0.33018,0.31857,0.26984,0.16041,1.56771,2.58493,1.96333,0.005974,0.005974,0.005974
63,7445.83,1.24293,1.16512,1.62503,0.31613,0.3188,0.27081,0.16143,1.56478,2.58717,1.95977,0.005908,0.005908,0.005908
64,7563.2,1.23771,1.1595,1.62123,0.31513,0.31663,0.26711,0.15892,1.56686,2.6143,1.9627,0.005842,0.005842,0.005842
65,7681.11,1.23278,1.15123,1.61258,0.31707,0.31849,0.26703,0.1592,1.56599,2.62918,1.9637,0.005776,0.005776,0.005776
66,7798.62,1.23166,1.14695,1.62078,0.31814,0.31549,0.26609,0.15832,1.56553,2.63713,1.96337,0.00571,0.00571,0.00571
67,7917.36,1.22515,1.13355,1.60739,0.32234,0.32088,0.26695,0.15821,1.56524,2.62926,1.96313,0.005644,0.005644,0.005644
68,8034.62,1.22315,1.13024,1.61039,0.32367,0.31775,0.26635,0.15784,1.56942,2.64091,1.96727,0.005578,0.005578,0.005578
69,8151.44,1.21898,1.11272,1.60676,0.32455,0.32041,0.26612,0.15744,1.57188,2.64766,1.97038,0.005512,0.005512,0.005512
70,8268.72,1.2141,1.10075,1.60223,0.32841,0.31792,0.265,0.1573,1.57255,2.66412,1.97137,0.005446,0.005446,0.005446
71,8384.06,1.21204,1.09292,1.59546,0.32807,0.31072,0.26277,0.1562,1.57261,2.68164,1.97233,0.00538,0.00538,0.00538
72,8501.06,1.21261,1.09323,1.59823,0.32546,0.31009,0.26236,0.15607,1.57248,2.68497,1.97306,0.005314,0.005314,0.005314
73,8618.21,1.20479,1.07784,1.59041,0.32445,0.30598,0.26217,0.15633,1.57301,2.69738,1.97348,0.005248,0.005248,0.005248
74,8735.22,1.19833,1.06887,1.58607,0.3262,0.30445,0.26116,0.15649,1.57435,2.7051,1.97481,0.005182,0.005182,0.005182
75,8851.36,1.19115,1.0629,1.57752,0.32793,0.3069,0.26114,0.1564,1.57266,2.70303,1.97347,0.005116,0.005116,0.005116
