epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.7695,3.0717,4.75892,4.03431,0.97152,0.0062,0.00682,0.00203,2.60735,4.677,3.60133,0.00332865,0.00332865,0.00332865
2,143.068,2.13984,3.08359,2.85899,0.88176,0.01401,0.02047,0.00841,2.07324,4.0047,2.93887,0.00661801,0.00661801,0.00661801
3,210.593,1.61479,2.33355,2.22073,0.81686,0.0163,0.0236,0.01104,1.86905,3.64109,2.64169,0.00986337,0.00986337,0.00986337
4,277.432,1.39963,1.83384,1.95049,0.14405,0.32529,0.03833,0.01864,1.87867,3.39851,2.54487,0.009802,0.009802,0.009802
5,343.572,1.22535,1.48542,1.75776,0.69629,0.06391,0.05002,0.02485,1.86602,3.06488,2.52731,0.009736,0.009736,0.009736
6,410.547,1.11782,1.31877,1.64467,0.84134,0.07238,0.06363,0.03085,1.84513,2.95139,2.54129,0.00967,0.00967,0.00967
7,476.532,1.03906,1.21151,1.56472,0.74525,0.0693,0.06758,0.03434,1.81943,2.9707,2.43953,0.009604,0.009604,0.009604
8,543.719,0.97055,1.12934,1.49903,0.53565,0.15747,0.07463,0.03637,1.82091,2.83887,2.4363,0.009538,0.009538,0.009538
9,610.685,0.92253,1.06854,1.44712,0.53597,0.11769,0.07466,0.03822,1.78515,2.78633,2.44235,0.009472,0.009472,0.009472
10,678.476,0.888,1.02565,1.41781,0.42447,0.17834,0.09564,0.04934,1.76702,2.63706,2.41308,0.009406,0.009406,0.009406
11,744.386,0.85584,0.97719,1.38055,0.38253,0.18817,0.10855,0.05541,1.75617,2.54401,2.37041,0.00934,0.00934,0.00934
12,812.154,0.82566,0.94531,1.35394,0.35287,0.17548,0.10819,0.05582,1.73078,2.57305,2.33006,0.009274,0.009274,0.009274
13,879.729,0.81166,0.93232,1.33878,0.40603,0.22322,0.13365,0.06568,1.74639,2.43757,2.31203,0.009208,0.009208,0.009208
14,945.796,0.7859,0.89938,1.32051,0.2707,0.20513,0.14517,0.07244,1.72797,2.37706,2.3251,0.009142,0.009142,0.009142
15,1012.66,0.76496,0.87739,1.29912,0.30642,0.18465,0.14333,0.07529,1.70292,2.3721,2.29329,0.009076,0.009076,0.009076
16,1078.64,0.74418,0.85346,1.28229,0.36398,0.24527,0.15661,0.08204,1.68519,2.33984,2.25052,0.00901,0.00901,0.00901
17,1146.41,0.73307,0.84358,1.27806,0.25833,0.23998,0.16903,0.08952,1.66403,2.21981,2.23428,0.008944,0.008944,0.008944
18,1214,0.7222,0.82387,1.26456,0.20357,0.25592,0.17498,0.09263,1.66686,2.20358,2.24232,0.008878,0.008878,0.008878
19,1281.25,0.6981,0.79643,1.24269,0.322,0.24695,0.17627,0.09296,1.66112,2.23328,2.23381,0.008812,0.008812,0.008812
20,1347.99,0.69242,0.79182,1.23898,0.39668,0.2713,0.19332,0.1019,1.64348,2.16283,2.20485,0.008746,0.008746,0.008746
