epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8725.52,0.43722,0.48984,1.08796,0.43698,0.54346,0.50029,0.29122,1.40413,1.39055,2.00905,0.007228,0.007228,0.007228
44,8927.41,0.43323,0.48825,1.08715,0.56791,0.50733,0.51093,0.29875,1.39572,1.36058,2.0005,0.007162,0.007162,0.007162
45,9130.65,0.43164,0.48441,1.08376,0.4821,0.53368,0.52035,0.3021,1.39913,1.3366,1.99728,0.007096,0.007096,0.007096
46,9333.15,0.4293,0.47383,1.08411,0.52406,0.5208,0.52922,0.31058,1.39255,1.34205,1.9913,0.00703,0.00703,0.00703
47,9535.26,0.42406,0.46417,1.07876,0.62425,0.49579,0.53489,0.3149,1.39467,1.32295,2.00186,0.006964,0.006964,0.006964
48,9737.75,0.42357,0.47354,1.08039,0.59688,0.48454,0.52879,0.31046,1.38436,1.32465,1.98474,0.006898,0.006898,0.006898
49,9940.26,0.42188,0.475,1.07763,0.53682,0.52514,0.53722,0.31836,1.39015,1.31956,1.98687,0.006832,0.006832,0.006832
50,10143,0.4155,0.46065,1.0721,0.64208,0.49629,0.55073,0.32875,1.37796,1.30356,1.9804,0.006766,0.006766,0.006766
51,10344.7,0.41517,0.46113,1.0744,0.5572,0.5538,0.55232,0.32848,1.3757,1.30018,1.97284,0.0067,0.0067,0.0067
52,10546.2,0.40802,0.45162,1.06855,0.50443,0.56411,0.55147,0.32733,1.37405,1.29367,1.97577,0.006634,0.006634,0.006634
53,10748,0.4071,0.45358,1.06673,0.51264,0.56077,0.55021,0.32612,1.37328,1.27348,1.97526,0.006568,0.006568,0.006568
54,10949.2,0.40615,0.45219,1.06919,0.50265,0.56621,0.55637,0.33001,1.37496,1.26053,1.97886,0.006502,0.006502,0.006502
55,11151.8,0.40821,0.45103,1.06765,0.7008,0.49845,0.56121,0.32995,1.36843,1.26028,1.96406,0.006436,0.006436,0.006436
56,11354.3,0.40217,0.44264,1.06335,0.45995,0.58979,0.56483,0.33514,1.36489,1.25279,1.96569,0.00637,0.00637,0.00637
57,11556.6,0.39849,0.43849,1.06451,0.58049,0.52677,0.57094,0.34006,1.36083,1.24059,1.9666,0.006304,0.006304,0.006304
58,11758.7,0.40119,0.44098,1.06327,0.67207,0.5184,0.57797,0.34497,1.35554,1.23622,1.96447,0.006238,0.006238,0.006238
59,11961.3,0.39768,0.43462,1.05933,0.51035,0.57488,0.57506,0.34172,1.35325,1.2406,1.96044,0.006172,0.006172,0.006172
60,12163.6,0.39133,0.42882,1.05444,0.47793,0.59281,0.57404,0.34475,1.35389,1.23177,1.9596,0.006106,0.006106,0.006106
61,12366.3,0.39678,0.43563,1.06164,0.48839,0.59338,0.57589,0.34338,1.35328,1.22232,1.95799,0.00604,0.00604,0.00604
62,12569.6,0.38865,0.42657,1.05654,0.50556,0.56466,0.57808,0.34828,1.35287,1.21512,1.96006,0.005974,0.005974,0.005974
63,12772.2,0.3917,0.42067,1.05835,0.5048,0.60317,0.58323,0.34982,1.34831,1.21034,1.95201,0.005908,0.005908,0.005908
64,12974.5,0.38833,0.42345,1.05611,0.48914,0.61187,0.58381,0.34994,1.3481,1.20633,1.95286,0.005842,0.005842,0.005842
65,13177.1,0.38584,0.41701,1.05204,0.50302,0.57917,0.57859,0.34764,1.34733,1.20808,1.95019,0.005776,0.005776,0.005776
66,13379.7,0.38685,0.41552,1.05331,0.52221,0.5696,0.58263,0.34887,1.34599,1.19991,1.94769,0.00571,0.00571,0.00571
67,13582.2,0.38595,0.41407,1.05452,0.50671,0.58451,0.585,0.35098,1.34681,1.19527,1.95096,0.005644,0.005644,0.005644
68,13783.6,0.37946,0.41064,1.04837,0.51202,0.59539,0.58819,0.35416,1.34063,1.18476,1.94591,0.005578,0.005578,0.005578
69,13984.6,0.38206,0.40736,1.05296,0.52972,0.58543,0.59666,0.35764,1.33913,1.17757,1.94464,0.005512,0.005512,0.005512
70,14185.9,0.37669,0.40539,1.05098,0.51739,0.61849,0.59943,0.36003,1.33714,1.17236,1.94449,0.005446,0.005446,0.005446
71,14387.7,0.3783,0.40692,1.04954,0.50818,0.63173,0.60024,0.36176,1.33794,1.17121,1.94451,0.00538,0.00538,0.00538
72,14589,0.37113,0.40193,1.04271,0.51547,0.6214,0.59908,0.3612,1.3378,1.16414,1.94355,0.005314,0.005314,0.005314
73,14790.2,0.37324,0.40257,1.045,0.51824,0.61774,0.6033,0.36446,1.33782,1.15996,1.94297,0.005248,0.005248,0.005248
74,14991.8,0.37333,0.39731,1.04474,0.52938,0.61921,0.60513,0.36603,1.33643,1.15946,1.94177,0.005182,0.005182,0.005182
75,15193,0.37111,0.39668,1.04218,0.51917,0.62976,0.60468,0.36678,1.33406,1.15645,1.94053,0.005116,0.005116,0.005116
